,Unnamed: 0,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s),fit_norm_intensity
499,19,0.31389817514400004,0.0020521535265300003,0.30874393067899997,0.00537549991503,-409.0909,100.000063685,0.2,0.3174147387024964
500,20,0.30720773096299997,0.0020521535265300003,0.308833080602,0.00537549991503,-398.9899,100.000063685,0.2,0.31490659459702136
501,21,0.311120881638,0.0020521535265300003,0.306781933698,0.00537549991503,-388.8889,100.000063685,0.2,0.31224664502168664
502,22,0.309637224516,0.0020521535265300003,0.30022144952700003,0.00537549991503,-378.7879,100.000063685,0.2,0.3094389761599033
503,23,0.306242746569,0.0020521535265300003,0.30386555744399996,0.00537549991503,-368.6869,100.000063685,0.2,0.30648940326506646
504,24,0.301039460852,0.0020521535265300003,0.296572031741,0.00537549991503,-358.5858,100.000063685,0.2,0.30340267052589165
505,25,0.299214969987,0.0020521535265300003,0.297123000624,0.00537549991503,-348.4849,100.000063685,0.2,0.30017797081433384
506,26,0.298927276401,0.0020521535265300003,0.291813968983,0.00537549991503,-338.3839,100.000063685,0.2,0.29680195054243197
507,27,0.289912488338,0.0020521535265300003,0.286439402366,0.00537549991503,-328.2828,100.000063685,0.2,0.29324128054536025
508,28,0.286275104803,0.0020521535265300003,0.28954497767299997,0.00537549991503,-318.1818,100.000063685,0.2,0.2894363099418434
509,29,0.289976752549,0.0020521535265300003,0.289550427277,0.00537549991503,-308.0808,100.000063685,0.2,0.2852987394788909
510,30,0.27583125866700003,0.0020521535265300003,0.274686983161,0.00537549991503,-297.9798,100.000063685,0.2,0.2807203408329433
511,31,0.27687739395100003,0.0020521535265300003,0.280894640441,0.00537549991503,-287.8788,100.000063685,0.2,0.2755951943423273
512,32,0.27125795917,0.0020521535265300003,0.270298375571,0.00537549991503,-277.7778,100.000063685,0.2,0.26985472697536056
513,33,0.260883738674,0.0020521535265300003,0.265114545075,0.00537549991503,-267.6768,100.000063685,0.2,0.26350294592676515
514,34,0.261263306011,0.0020521535265300003,0.253313778107,0.00537549991503,-257.5757,100.000063685,0.2,0.2566258413498974
515,35,0.253566371946,0.0020521535265300003,0.252020545285,0.00537549991503,-247.4747,100.000063685,0.2,0.24934575503135392
516,36,0.236178234346,0.0020521535265300003,0.23838899101799998,0.00537549991503,-237.3737,100.000063685,0.2,0.24171853700777732
517,37,0.23506688656999997,0.0020521535265300003,0.23745641015900001,0.00537549991503,-227.2727,100.000063685,0.2,0.2336359665341445
518,38,0.219511190799,0.0020521535265300003,0.224411875999,0.00537549991503,-217.1717,100.000063685,0.2,0.2248493911672978
519,39,0.22121652662500002,0.0020521535265300003,0.213804432456,0.00537549991503,-207.0707,100.000063685,0.2,0.2151585462847639
520,40,0.206651090559,0.0020521535265300003,0.20327272442699998,0.00537549991503,-196.9697,100.000063685,0.2,0.20457707148016807
521,41,0.193765204394,0.0020521535265300003,0.186022353994,0.00537549991503,-186.8687,100.000063685,0.2,0.19320609792025153
522,42,0.185587164081,0.0020521535265300003,0.187367427916,0.00537549991503,-176.7677,100.000063685,0.2,0.18102471472781526
523,43,0.157968105694,0.0020521535265300003,0.161197034745,0.00537549991503,-166.6667,100.000063685,0.2,0.1680861239398705
524,44,0.15904360118799998,0.0020521535265300003,0.162598700703,0.00537549991503,-156.5657,100.000063685,0.2,0.15448353848629717
525,45,0.13775110274,0.0020521535265300003,0.130766756413,0.00537549991503,-146.4646,100.000063685,0.2,0.13993900893198893
526,46,0.11233723319599999,0.0020521535265300003,0.115423132365,0.00537549991503,-136.3636,100.000063685,0.2,0.12494144085655662
527,47,0.10613059421399999,0.0020521535265300003,0.100745058607,0.00537549991503,-126.2626,100.000063685,0.2,0.10943773053558045
528,48,0.0834174992687,0.0020521535265300003,0.08788153512260001,0.00537549991503,-116.1616,100.000063685,0.2,0.09370321287256593
529,49,0.089732935153,0.0020521535265300003,0.07969072522210001,0.00537549991503,-106.0606,100.000063685,0.2,0.07836134295556081
530,50,0.0512597536077,0.0020521535265300003,0.050183050783000005,0.00537549991503,-95.95959,100.000063685,0.2,0.06339407776665477
531,51,0.04628420099740001,0.0020521535265300003,0.046516823065599996,0.00537549991503,-85.85859,100.000063685,0.2,0.04899406606788515
532,52,0.0460136858698,0.0020521535265300003,0.037088687685199996,0.00537549991503,-75.75758,100.000063685,0.2,0.03682744775777028
533,53,0.020068349109999998,0.0020521535265300003,0.019331993196700002,0.00537549991503,-65.65656,100.000063685,0.2,0.02585947566463979
534,54,0.0135475485866,0.0020521535265300003,0.015655718646200002,0.00537549991503,-55.55556,100.000063685,0.2,0.01682241876810168
535,55,0.0108704518117,0.0020521535265300003,0.0152143566589,0.00537549991503,-45.45454,100.000063685,0.2,0.009771327347758658
536,56,0.022970775467,0.0020521535265300003,0.015859561762500002,0.00537549991503,-35.35353,100.000063685,0.2,0.005495782020765545
537,57,-0.021840790340400002,0.0020521535265300003,-0.0153687900371,0.00537549991503,-25.25253,100.000063685,0.2,0.0032025359120240716
538,58,0.015668413447200002,0.0020521535265300003,0.012428714994700002,0.00537549991503,-15.151520000000001,100.000063685,0.2,0.0006418987312295238
539,59,0.0277464488735,0.0020521535265300003,0.0263631135066,0.00537549991503,-5.050505,100.000063685,0.2,-0.0007418904385978598
540,60,0.020082237765900002,0.0020521535265300003,0.0258006026423,0.00537549991503,5.050505,100.000063685,0.2,-0.0007674655289654725
541,61,-0.00744596444825,0.0020521535265300003,-0.0120523374327,0.00537549991503,15.151520000000001,100.000063685,0.2,0.0003439598039561427
542,62,-0.0140811348432,0.0020521535265300003,-0.00837967499124,0.00537549991503,25.25253,100.000063685,0.2,0.0025331862024223738
543,63,0.00545169497769,0.0020521535265300003,0.005283327678790001,0.00537549991503,35.35353,100.000063685,0.2,0.00315149056132391
544,64,0.029724648644,0.0020521535265300003,0.0293963348482,0.00537549991503,45.45454,100.000063685,0.2,0.00529563798410702
545,65,0.0295206407747,0.0020521535265300003,0.0258710003404,0.00537549991503,55.55556,100.000063685,0.2,0.008885578017504916
546,66,0.029886111563,0.0020521535265300003,0.024240101703599998,0.00537549991503,65.65656,100.000063685,0.2,0.013037765316917097
547,67,0.013437588217400001,0.0020521535265300003,0.00971851819972,0.00537549991503,75.75758,100.000063685,0.2,0.0179829996953182
548,68,0.015476915580500001,0.0020521535265300003,0.0110099023487,0.00537549991503,85.85859,100.000063685,0.2,0.022982882073203297
549,69,0.0406336918075,0.0020521535265300003,0.0415590533005,0.00537549991503,95.95959,100.000063685,0.2,0.029045667230228844
550,70,0.0201975376814,0.0020521535265300003,0.026611308011,0.00537549991503,106.0606,100.000063685,0.2,0.03570272715024865
551,71,0.046031119634300004,0.0020521535265300003,0.04445118580580001,0.00537549991503,116.1616,100.000063685,0.2,0.041663131877503735
552,72,0.037885867927900004,0.0020521535265300003,0.0425872537408,0.00537549991503,126.2626,100.000063685,0.2,0.04843116637592662
553,73,0.0642318967863,0.0020521535265300003,0.05665010918769999,0.00537549991503,136.3636,100.000063685,0.2,0.05457194477605681
554,74,0.0627715819427,0.0020521535265300003,0.06125228534009999,0.00537549991503,146.4646,100.000063685,0.2,0.060585768025632224
555,75,0.0743296571676,0.0020521535265300003,0.0751926364958,0.00537549991503,156.5657,100.000063685,0.2,0.06624144981931251
556,76,0.07901963158589999,0.0020521535265300003,0.0789717827917,0.00537549991503,166.6667,100.000063685,0.2,0.07131415106965014
557,77,0.0755738735709,0.0020521535265300003,0.06585303621159999,0.00537549991503,176.7677,100.000063685,0.2,0.07614921543659335
558,78,0.0757450381245,0.0020521535265300003,0.07733388351039999,0.00537549991503,186.8687,100.000063685,0.2,0.08059012222795106
559,79,0.0829866518638,0.0020521535265300003,0.0847584092971,0.00537549991503,196.9697,100.000063685,0.2,0.08465818308901359
560,80,0.0928829392014,0.0020521535265300003,0.0863245414927,0.00537549991503,207.0707,100.000063685,0.2,0.08838802509402896
561,81,0.09308871597769999,0.0020521535265300003,0.0864010175947,0.00537549991503,217.1717,100.000063685,0.2,0.09171701126341092
562,82,0.09511799886639999,0.0020521535265300003,0.100973089579,0.00537549991503,227.2727,100.000063685,0.2,0.09476201281886384
563,83,0.0989427406607,0.0020521535265300003,0.08959472277170001,0.00537549991503,237.3737,100.000063685,0.2,0.09780262625403634
564,84,0.10144915431700001,0.0020521535265300003,0.09414324129000001,0.00537549991503,247.4747,100.000063685,0.2,0.10102826236144745
565,85,0.096389605975,0.0020521535265300003,0.09266556035060002,0.00537549991503,257.5757,100.000063685,0.2,0.10441964023424517
566,86,0.0987095367068,0.0020521535265300003,0.102822587181,0.00537549991503,267.6768,100.000063685,0.2,0.10783373415605246
567,87,0.107469638625,0.0020521535265300003,0.1084209229,0.00537549991503,277.7778,100.000063685,0.2,0.11114855475342625
568,88,0.109535722075,0.0020521535265300003,0.11079233880799999,0.00537549991503,287.8788,100.000063685,0.2,0.11434893064351534
569,89,0.11902366542300001,0.0020521535265300003,0.11346202967800001,0.00537549991503,297.9798,100.000063685,0.2,0.11753248142936625
570,90,0.12158073911900001,0.0020521535265300003,0.127163534495,0.00537549991503,308.0808,100.000063685,0.2,0.120869301175558
571,91,0.119270400605,0.0020521535265300003,0.117049545559,0.00537549991503,318.1818,100.000063685,0.2,0.12455361065621709
572,92,0.12430569486,0.0020521535265300003,0.12612447676799998,0.00537549991503,328.2828,100.000063685,0.2,0.128767658646579
573,93,0.128167857244,0.0020521535265300003,0.12718375392200001,0.00537549991503,338.3839,100.000063685,0.2,0.13366140038116253
574,94,0.138510930387,0.0020521535265300003,0.143943170976,0.00537549991503,348.4849,100.000063685,0.2,0.13934265105180083
575,95,0.144468098764,0.0020521535265300003,0.139350119416,0.00537549991503,358.5858,100.000063685,0.2,0.14587308204938854
576,96,0.16413739703,0.0020521535265300003,0.16477630635399998,0.00537549991503,368.6869,100.000063685,0.2,0.15326508931104346
577,97,0.167035705663,0.0020521535265300003,0.170059207846,0.00537549991503,378.7879,100.000063685,0.2,0.16147998428179064
578,98,0.166888430472,0.0020521535265300003,0.163288844075,0.00537549991503,388.8889,100.000063685,0.2,0.17042931288309732
579,99,0.174730560806,0.0020521535265300003,0.18095659824000002,0.00537549991503,398.9899,100.000063685,0.2,0.17998019581594063
580,100,0.188665390622,0.0020521535265300003,0.18925480724899998,0.00537549991503,409.0909,100.000063685,0.2,0.18996585913640077
581,101,0.199959843986,0.0020521535265300003,0.208285381481,0.00537549991503,419.1919,100.000063685,0.2,0.2002001426214285
582,102,0.200947514157,0.0020521535265300003,0.198994925441,0.00537549991503,429.2929,100.000063685,0.2,0.2104936540416014
